Question Number,Question,Concepts
11,"With reference to Corporate Social Responsibility (CSR) rules in India, consider the following statements: 1. CSR rules specify that expenditures that benefit the company directly or its employees will not be considered as CSR activities. 2. CSR rules do not specify minimum spending on CSR activities. Which of the statements given above is/are correct?","Corporate Social Responsibility; CSR Rules; Corporate Governance; Social Spending; Business Ethics"
12,"With reference to the Indian economy, "Collateral Borrowing and Lending Obligations" are the instruments of:","Financial Instruments; Money Market; Collateral Borrowing and Lending Obligations; Debt Market"
13,"Consider the following statements: Statement-I: Interest income from the deposits in Infrastructure Investment Trusts (InvITs) distributed to their investors is exempted from tax, but the dividend is taxable. Statement-II: InvITs are recognized as borrowers under the 'Securitization and Reconstruction of Financial Assets and Enforcement of Security Interest Act, 2002". Which one of the following is correct in respect of the above statements?","Infrastructure Investment Trusts; Tax Treatment; SARFAESI Act; Investment Vehicles; Tax Exemptions"
14,"Consider the following statements: Statement-I: In the post-pandemic recent past, many Central Banks worldwide had carried out interest rate hikes. Statement-II: Central Banks generally assume that they have the ability to counteract the rising consumer prices via monetary policy means. Which one of the following is correct in respect of the above statements?","Monetary Policy; Interest Rate Policy; Central Banking; Inflation Control; Post-pandemic Economics"
15,"Which one of the following activities of the Reserve Bank of India is considered to be part of 'sterilization'?","Monetary Policy; Sterilization; Open Market Operations; RBI Functions; Money Supply Management"
16,"Consider the following markets: 1. Government Bond Market 2. Call Money Market 3. Treasury Bill Market 4. Stock Market How many of the above are included in capital markets?","Capital Markets; Money Markets; Government Bond Market; Treasury Bills; Stock Market; Financial Market Classification"
17,"Which one of the following best describes the concept of 'Small Farmer Large Field'?","Agricultural Cooperation; Small Farmers; Collective Farming; Agricultural Organization; Farm Management"
18,"Consider the following statements: 1. The Government of India provides Minimum Support Price for niger (Guizotia abyssinica) seeds. 2. Niger is cultivated as a Kharif crop. 3. Some tribal people in India use niger seed oil for cooking. How many of the above statements are correct?","Minimum Support Price; Agricultural Crops; Niger Seeds; Kharif Crops; Tribal Economy"
19,"Consider the investments in the following assets: 1. Brand recognition 2. Inventory 3. Intellectual property 4. Mailing list of clients How many of the above are considered intangible investments?","Intangible Assets; Brand Recognition; Intellectual Property; Investment Classification; Asset Management"
20,"Consider the following statements: Statement-I: India accounts for 3.2% of global export of goods. Statement-II: Many local companies and some foreign companies operating in India have taken advantage of India's 'Production-linked Incentive' scheme. Which one of the following is correct in respect of the above statements?","International Trade; Export Statistics; Production Linked Incentive Scheme; Industrial Policy; Trade Policy"
21,"Consider the following statements with reference to India: 1. According to the Micro, Small and Medium Enterprises Development (MSMED) Act, 2006', the 'medium enterprises' are those with investments in plant and machinery between 15 crore and 25 crore. 2. All bank loans to the Micro, Small and Medium Enterprises qualify under the priority sector. Which of the statements given above is/are correct?","MSME Classification; MSMED Act 2006; Priority Sector Lending; Small Business Finance; Enterprise Development"
